###cas|pos|1.0###
SP-Wiki+M 	---	 SP-CC100 	---	 p-value :  0.0349 	---	 True
SP-Wiki+M 	---	 SP-Wiki 	---	 p-value :  0.1924 	---	 False
SP-Wiki+M 	---	 BPE-NACHOS 	---	 p-value :  0.0 	---	 Very True
SP-Wiki+M 	---	 BPE-NACHOS+M 	---	 p-value :  0.0248 	---	 True
SP-Wiki+M 	---	 SP-NACHOS 	---	 p-value :  0.0003 	---	 Very True
SP-Wiki+M 	---	 BPE-Wiki+M 	---	 p-value :  0.0308 	---	 True
SP-Wiki+M 	---	 SP-PubMed 	---	 p-value :  0.0005 	---	 Very True
SP-Wiki+M 	---	 BPE-CC100+M 	---	 p-value :  0.1048 	---	 False
SP-Wiki+M 	---	 SP-NACHOS+M 	---	 p-value :  0.0021 	---	 Very True
SP-Wiki+M 	---	 BPE-Wiki 	---	 p-value :  0.568 	---	 False
SP-Wiki+M 	---	 BPE-PubMed 	---	 p-value :  0.0319 	---	 True
SP-Wiki+M 	---	 SP-CC100+M 	---	 p-value :  0.0544 	---	 False
SP-Wiki+M 	---	 BPE-PubMed+M 	---	 p-value :  0.0009 	---	 Very True
SP-Wiki+M 	---	 SP-PubMed+M 	---	 p-value :  0.0002 	---	 Very True
SP-Wiki+M 	---	 BPE-CC100 	---	 p-value :  0.0 	---	 Very True



###cas|ner-neg|1.0###
BPE-NACHOS 	---	 SP-CC100 	---	 p-value :  0.2193 	---	 False
BPE-NACHOS 	---	 SP-Wiki 	---	 p-value :  0.3106 	---	 False
BPE-NACHOS 	---	 BPE-NACHOS+M 	---	 p-value :  0.0475 	---	 True
BPE-NACHOS 	---	 SP-NACHOS 	---	 p-value :  0.3968 	---	 False
BPE-NACHOS 	---	 BPE-Wiki+M 	---	 p-value :  0.3898 	---	 False
BPE-NACHOS 	---	 SP-PubMed 	---	 p-value :  0.0271 	---	 True
BPE-NACHOS 	---	 BPE-CC100+M 	---	 p-value :  0.0207 	---	 True
BPE-NACHOS 	---	 SP-NACHOS+M 	---	 p-value :  0.1761 	---	 False
BPE-NACHOS 	---	 BPE-Wiki 	---	 p-value :  0.068 	---	 False
BPE-NACHOS 	---	 BPE-PubMed 	---	 p-value :  0.008 	---	 Very True
BPE-NACHOS 	---	 SP-CC100+M 	---	 p-value :  0.0231 	---	 True
BPE-NACHOS 	---	 BPE-PubMed+M 	---	 p-value :  0.0153 	---	 True
BPE-NACHOS 	---	 SP-PubMed+M 	---	 p-value :  0.009 	---	 Very True
BPE-NACHOS 	---	 SP-Wiki+M 	---	 p-value :  0.9937 	---	 False
BPE-NACHOS 	---	 BPE-CC100 	---	 p-value :  0.0738 	---	 False



###cas|cls|1.0###
SP-CC100 	---	 SP-Wiki 	---	 p-value :  0.0261 	---	 True
SP-CC100 	---	 BPE-NACHOS 	---	 p-value :  0.0195 	---	 True
SP-CC100 	---	 BPE-NACHOS+M 	---	 p-value :  0.0508 	---	 False
SP-CC100 	---	 SP-NACHOS 	---	 p-value :  0.3413 	---	 False
SP-CC100 	---	 BPE-Wiki+M 	---	 p-value :  0.2575 	---	 False
SP-CC100 	---	 SP-PubMed 	---	 p-value :  0.0036 	---	 Very True
SP-CC100 	---	 BPE-CC100+M 	---	 p-value :  0.0551 	---	 False
SP-CC100 	---	 SP-NACHOS+M 	---	 p-value :  0.2526 	---	 False
SP-CC100 	---	 BPE-Wiki 	---	 p-value :  0.2899 	---	 False
SP-CC100 	---	 BPE-PubMed 	---	 p-value :  0.1685 	---	 False
SP-CC100 	---	 SP-CC100+M 	---	 p-value :  0.4369 	---	 False
SP-CC100 	---	 BPE-PubMed+M 	---	 p-value :  0.0138 	---	 True
SP-CC100 	---	 SP-PubMed+M 	---	 p-value :  0.0013 	---	 Very True
SP-CC100 	---	 SP-Wiki+M 	---	 p-value :  0.0965 	---	 False
SP-CC100 	---	 BPE-CC100 	---	 p-value :  0.864 	---	 False



###cas|ner-spec|1.0###
SP-NACHOS 	---	 SP-CC100 	---	 p-value :  0.2499 	---	 False
SP-NACHOS 	---	 SP-Wiki 	---	 p-value :  0.2084 	---	 False
SP-NACHOS 	---	 BPE-NACHOS 	---	 p-value :  0.0464 	---	 True
SP-NACHOS 	---	 BPE-NACHOS+M 	---	 p-value :  0.1377 	---	 False
SP-NACHOS 	---	 BPE-Wiki+M 	---	 p-value :  0.6574 	---	 False
SP-NACHOS 	---	 SP-PubMed 	---	 p-value :  0.0222 	---	 True
SP-NACHOS 	---	 BPE-CC100+M 	---	 p-value :  0.0349 	---	 True
SP-NACHOS 	---	 SP-NACHOS+M 	---	 p-value :  0.0309 	---	 True
SP-NACHOS 	---	 BPE-Wiki 	---	 p-value :  0.5199 	---	 False
SP-NACHOS 	---	 BPE-PubMed 	---	 p-value :  0.6804 	---	 False
SP-NACHOS 	---	 SP-CC100+M 	---	 p-value :  0.9163 	---	 False
SP-NACHOS 	---	 BPE-PubMed+M 	---	 p-value :  0.1016 	---	 False
SP-NACHOS 	---	 SP-PubMed+M 	---	 p-value :  0.496 	---	 False
SP-NACHOS 	---	 SP-Wiki+M 	---	 p-value :  0.2621 	---	 False
SP-NACHOS 	---	 BPE-CC100 	---	 p-value :  0.5672 	---	 False



###essai|pos|1.0###
SP-Wiki 	---	 SP-CC100 	---	 p-value :  0.0222 	---	 True
SP-Wiki 	---	 BPE-NACHOS 	---	 p-value :  0.6753 	---	 False
SP-Wiki 	---	 BPE-NACHOS+M 	---	 p-value :  0.0 	---	 Very True
SP-Wiki 	---	 SP-NACHOS 	---	 p-value :  0.0173 	---	 True
SP-Wiki 	---	 BPE-Wiki+M 	---	 p-value :  0.0028 	---	 Very True
SP-Wiki 	---	 SP-PubMed 	---	 p-value :  0.0016 	---	 Very True
SP-Wiki 	---	 BPE-CC100+M 	---	 p-value :  0.0179 	---	 True
SP-Wiki 	---	 SP-NACHOS+M 	---	 p-value :  0.0005 	---	 Very True
SP-Wiki 	---	 BPE-Wiki 	---	 p-value :  0.0299 	---	 True
SP-Wiki 	---	 BPE-PubMed 	---	 p-value :  0.0052 	---	 Very True
SP-Wiki 	---	 SP-CC100+M 	---	 p-value :  0.0007 	---	 Very True
SP-Wiki 	---	 BPE-PubMed+M 	---	 p-value :  0.0025 	---	 Very True
SP-Wiki 	---	 SP-PubMed+M 	---	 p-value :  0.0002 	---	 Very True
SP-Wiki 	---	 SP-Wiki+M 	---	 p-value :  0.068 	---	 False
SP-Wiki 	---	 BPE-CC100 	---	 p-value :  0.2965 	---	 False



###essai|cls|1.0###
SP-PubMed 	---	 SP-CC100 	---	 p-value :  0.9623 	---	 False
SP-PubMed 	---	 SP-Wiki 	---	 p-value :  0.0155 	---	 True
SP-PubMed 	---	 BPE-NACHOS 	---	 p-value :  0.2868 	---	 False
SP-PubMed 	---	 BPE-NACHOS+M 	---	 p-value :  0.0245 	---	 True
